url,doi
http://src-online.ca/index.php/src/article/view/3,10.22230/src.2010v1n1a3
http://src-online.ca/index.php/src/article/view/5,10.22230/src.2010v1n1a5
http://src-online.ca/index.php/src/article/view/1,10.22230/src.2010v1n1a1
http://src-online.ca/index.php/src/article/view/9,10.22230/src.2010v1n1a9
http://src-online.ca/index.php/src/article/view/18,10.22230/src.2010v1n1a18
http://src-online.ca/index.php/src/article/view/17,10.22230/src.2010v1n1a17
http://src-online.ca/index.php/src/article/view/20,10.22230/src.2010v1n1a20
http://src-online.ca/index.php/src/article/view/25,10.22230/src.2010v1n2a25
http://src-online.ca/index.php/src/article/view/24,10.22230/src.2010v1n2a24
http://src-online.ca/index.php/src/article/view/29,10.22230/src.2011v2n1a29
http://src-online.ca/index.php/src/article/view/30,10.22230/src.2011v2n2a30
http://src-online.ca/index.php/src/article/view/32,10.22230/src.2011v2n2a32
http://src-online.ca/index.php/src/article/view/34,10.22230/src.2011v2n2a34
http://src-online.ca/index.php/src/article/view/31,10.22230/src.2011v2n2a31
http://src-online.ca/index.php/src/article/view/48,10.22230/src.2012v3n1a48
http://src-online.ca/index.php/src/article/view/47,10.22230/src.2012v3n1a47
http://src-online.ca/index.php/src/article/view/50,10.22230/src.2012v3n1a50
http://src-online.ca/index.php/src/article/view/49,10.22230/src.2012v3n1a49
http://src-online.ca/index.php/src/article/view/51,10.22230/src.2012v3n1a51
http://src-online.ca/index.php/src/article/view/52,10.22230/src.2012v3n1a52
http://src-online.ca/index.php/src/article/view/46,10.22230/src.2012v3n1a46
http://src-online.ca/index.php/src/article/view/45,10.22230/src.2012v3n1a45
http://src-online.ca/index.php/src/article/view/88,10.22230/src.2012v3n1a88
http://src-online.ca/index.php/src/article/view/75,10.22230/src.2012v3n2a75
http://src-online.ca/index.php/src/article/view/74,10.22230/src.2012v3n2a74
http://src-online.ca/index.php/src/article/view/77,10.22230/src.2012v3n2a77
http://src-online.ca/index.php/src/article/view/73,10.22230/src.2012v3n2a73
http://src-online.ca/index.php/src/article/view/76,10.22230/src.2012v3n2a76
http://src-online.ca/index.php/src/article/view/79,10.22230/src.2012v3n2a79
http://src-online.ca/index.php/src/article/view/78,10.22230/src.2012v3n2a78
http://src-online.ca/index.php/src/article/view/81,10.22230/src.2012v3n2a81
http://src-online.ca/index.php/src/article/view/80,10.22230/src.2012v3n2a80
http://src-online.ca/index.php/src/article/view/96,10.22230/src.2012v3n3a96
http://src-online.ca/index.php/src/article/view/98,10.22230/src.2012v3n3a98
http://src-online.ca/index.php/src/article/view/92,10.22230/src.2012v3n3a92
http://src-online.ca/index.php/src/article/view/94,10.22230/src.2012v3n3a94
http://src-online.ca/index.php/src/article/view/90,10.22230/src.2012v3n3a90
http://src-online.ca/index.php/src/article/view/91,10.22230/src.2012v3n3a91
http://src-online.ca/index.php/src/article/view/95,10.22230/src.2012v3n3a95
http://src-online.ca/index.php/src/article/view/93,10.22230/src.2012v3n3a93
http://src-online.ca/index.php/src/article/view/97,10.22230/src.2012v3n3a97
http://www.projectbaikal.com/index.php/pb/article/view/1079,10.7480/projectbaikal.50.1079
http://src-online.ca/index.php/src/article/view/42,10.22230/src.2013v4n1a42
http://src-online.ca/index.php/src/article/view/43,10.22230/src.2013v4n1a43
http://src-online.ca/index.php/src/article/view/37,10.22230/src.2013v4n1a37
http://src-online.ca/index.php/src/article/view/44,10.22230/src.2013v4n1a44
http://src-online.ca/index.php/src/article/view/39,10.22230/src.2013v4n1a39
http://src-online.ca/index.php/src/article/view/40,10.22230/src.2013v4n1a40
http://src-online.ca/index.php/src/article/view/106,10.22230/src.2013v4n1a106
http://src-online.ca/index.php/src/article/view/89,10.22230/src.2013v4n2a89
http://src-online.ca/index.php/src/article/view/86,10.22230/src.2013v4n2a86
http://src-online.ca/index.php/src/article/view/103,10.22230/src.2013v4n2a103
http://src-online.ca/index.php/src/article/view/109,10.22230/src.2013v4n2a109
http://src-online.ca/index.php/src/article/view/58,10.22230/src.2012v3n4a58
http://src-online.ca/index.php/src/article/view/59,10.22230/src.2012v3n4a59
http://src-online.ca/index.php/src/article/view/61,10.22230/src.2012v3n4a61
http://src-online.ca/index.php/src/article/view/64,10.22230/src.2012v3n4a64
http://src-online.ca/index.php/src/article/view/67,10.22230/src.2012v3n4a67
